"","idade","sexo","sem","ano"
"472",18,1,2,1
"473",17,1,2,1
"474",18,1,2,1
"475",18,1,2,1
"476",20,2,4,2
"477",17,1,2,1
"478",21,2,4,2
"479",18,1,4,2
"480",18,1,2,1
"481",18,1,2,1
"482",17,1,2,1
"483",19,1,2,1
"484",17,1,2,1
"485",18,1,4,2
"486",18,1,2,1
"487",20,2,4,2
"488",19,1,2,1
"489",17,1,2,1
"490",18,1,2,1
"491",18,1,2,1
"492",17,1,2,1
"493",17,1,2,1
"494",18,1,1,1
"495",17,1,2,1
"496",18,1,2,1
"497",18,1,2,1
"498",18,1,2,1
"499",19,1,2,1
"500",19,1,2,1
"501",18,1,4,2
"502",19,1,2,1
"503",17,1,2,1
"504",19,1,2,1
"505",20,2,6,3
"506",18,1,4,2
"507",19,1,6,3
"508",18,1,2,1
"509",18,1,2,1
"510",17,1,2,1
"511",19,1,2,1
"512",19,1,4,2
"513",18,1,2,1
"514",18,1,2,1
"515",18,1,4,2
"516",18,1,4,2
"517",18,1,3,2
"518",19,1,4,2
"519",19,1,2,1
"520",18,1,4,2
"521",18,1,2,1
"522",18,1,2,1
"523",18,1,2,1
"524",18,1,2,1
"525",18,1,2,1
"526",19,1,4,2
"527",17,1,2,1
"528",17,1,2,1
"529",20,2,2,1
"530",34,2,4,2
"531",26,2,6,3
"532",18,1,2,1
